16.06.2020 14:13:34 # Logging started.
16.06.2020 14:13:34 # TCP connection established with server @10.29.10.133.
16.06.2020 14:13:34 # Requesting session 016:01
16.06.2020 14:13:34 # 00060000013882020071614132610000000000010100005             01601.
16.06.2020 14:13:34 # ACK sent for message: 00000
16.06.2020 14:13:34 # 00060000013882020071614132710000100000040100000             .
16.06.2020 14:13:34 # ACK sent for message: 00001
16.06.2020 14:14:02 # 00060000013882020071614135400000001600010100164             202007161413515201470606000014720200716141351085396930001388000015960011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:02 # ACK sent for message: 00000
16.06.2020 14:14:02 # 00060000013882020071614135400000101600010100164             202007161413527501470607000014720200716141352085396930001388000015970011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:02 # ACK sent for message: 00001
16.06.2020 14:14:07 # 00060000013882020071614135900000201600010100164             202007161413541401470608000014720200716141354085396930001388000015980011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:07 # ACK sent for message: 00002
16.06.2020 14:14:07 # 00060000013882020071614135900000301600010100164             202007161413560301470609000014720200716141356085396930001388000015990011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:07 # ACK sent for message: 00003
16.06.2020 14:14:07 # 00060000013882020071614140000000401600010100164             202007161413575801470610000014720200716141357085396930001388000016000011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:07 # ACK sent for message: 00004
16.06.2020 14:14:07 # 00060000013882020071614140000000501600010100164             202007161413590801470611000014720200716141359085396930001388000016010011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:07 # ACK sent for message: 00005
16.06.2020 14:14:12 # 00060000013882020071614140400000601600010100164             202007161414007001470612000014720200716141400085496930001388000016020011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:12 # ACK sent for message: 00006
16.06.2020 14:14:12 # 00060000013882020071614140400000701600010100164             202007161414022201470613000014720200716141402085496930001388000016030011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:12 # ACK sent for message: 00007
16.06.2020 14:14:12 # 00060000013882020071614140500000801600010100164             202007161414037201470614000014720200716141403085496930001388000016040011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:12 # ACK sent for message: 00008
16.06.2020 14:14:17 # 00060000013882020071614140900000901600010100164             202007161414052301470615000014720200716141405085496930001388000016050011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:17 # ACK sent for message: 00009
16.06.2020 14:14:17 # 00060000013882020071614140900001001600010100164             202007161414066601470616000014720200716141406085496930001388000016060011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:17 # ACK sent for message: 00010
16.06.2020 14:14:17 # 00060000013882020071614141000001101600010100164             202007161414080201470617000014720200716141408085496930001388000016070011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:17 # ACK sent for message: 00011
16.06.2020 14:14:18 # 00060000013882020071614141000001201600010100164             202007161414094501470618000014720200716141409085496930001388000016080011000000202007160001388      00                    0                              199401010000.
16.06.2020 14:14:18 # ACK sent for message: 00012
